Date,Make,Model,Select,Tint Removal Request,Comments
7/8/2020,Chevy,Cruze,4DR,Yes,.
7/8/2020,Honda,Civic,4DR,No,.
7/9/2020,Nissan,Sentra SV,4DR,No,.
7/10/2020,Chevrolet,Malibu,4DR,No,.
7/10/2020,Nissan,Frontier,4DR,No,"Hi, I'm requesting an estimate for tinting on all side windows and the rear windshield on a Nissan Frontier Crew Cab. The rear windshield has the sliding rear window. I'm interested in the dark or medium tint options and dyed window tint or possibly metallized window tint. Thank you."
7/11/2020,honda,civic,2DR,No,"4900 Central Drive
48"
7/12/2020,,,,,
7/12/2020,BMW,530i,4DR,No,Look at legal limit ceramic tint.
7/13/2020,,,,,
7/13/2020,HONDA,ACCORD,4DR,No,.
7/13/2020,Honda,Fit,,,
7/13/2020,Volkswagen,Jetta,4DR,No,Need all side and rear view windows tinted to reduce the heat inside the car the basic option or let me know
7/13/2020,Honda,Civic,4DR,No,"No
Comments:"
7/13/2020,,,,,Do u guys carry light blue frost tint
7/14/2020,BMW,M340i,4DR,No,"Please provide me with 2 quotes for:
A. CTX All Side Windows and Rear + Nano-Ceramic Air Front Windshield
B. IRX All Side Windows and Rear + Nano-Ceramic Air Front Windshield
Thank you."
7/14/2020,,,,,
7/14/2020,,,,,Price quote
7/14/2020,Volkswagen,Jetta,4DR,No,
7/15/2020,Ford,Fusion,4DR,No,
7/15/2020,Nissan,Versa,,,I wanted to get a quote for a 2008 Nissan Versa Hatchback.
7/15/2020,Honda,Civic,4DR,No,Need pricing to tint with warranty
7/16/2020,Toyota,Rav4,Other,No,Windshield and 2doors
7/16/2020,Dodge,Charger,4DR,No,
7/16/2020,,,,,
7/17/2020,Toyota,Corolla,4DR,No,
7/17/2020,Dodge,Challenger,Coupe,Yes,
7/17/2020,Nissan,Altima,Sedan,No,"I want all 4 door windows, the rear window, and the line across the front windshield tinted."
7/17/2020,Honda,Insight,Sedan,No,Would like price for all windows with ceremaic
7/18/2020,Ram,1500 (tel:1500),Truck,No,Wanted to see what it would cost to get the front windshield strip put on. I have to get my front windshield replaced and would need to put another strip on the new windshield.
7/19/2020,chevy,silverado,Truck,No,"silverado lt 3 door extended cab
want tint all the way around"
7/20/2020,Potiac,G5 gt,Coupe,No,I have a potiac g5 gt 2007 coupe I just need the back window to be tinted 5% and it has the dot matrix going across the top half of the glass can you use a vinly to go across that part ? And how much will that cost. Thank you
7/20/2020,Acura,Tl,Sedan,Yes,I would like to know how much to remove and re-tint. Thank you in advance.
7/20/2020,Toyota,Avalon,Sedan,No,
7/20/2020,Buick,Encore,SUV/CC,No,"Hello, How much would it be to just get the 2 front windows tinted so they can match the back 2 windows?"
7/22/2020,Hyundai,Sonata,Sedan,No,
7/22/2020,Audi,Q3,SUV/CC,No,Front 2 windows tinted only
7/22/2020,Jeep,Cherokee sport,SUV/CC,No,Dark tint in back .. medium in front
7/23/2020,Subaru,Outback,SUV/CC,No,I want to get estimate for All Side Windows + Rear Windshield Ultra-Ceramic – IRX 35%.
7/23/2020,Volkswagen,Passat,Sedan,No,"i am interested in the ceramic tint at the legal limit
Thanks!"
7/24/2020,,,,,its a 2009 sonata and it will be 32%? Including rear windshield?
7/24/2020,Toyota,Corrolla,Sedan,No,Passenger side windows
